genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,11.7340287,11.7340287,13.0378097,15.6453716,15.6453716,18.2529335,20.8604954,18.2529335
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,10.5621406,16.4299965,16.4299965,17.6035677,22.2978524,24.6449947,25.8185659,26.9921371
Homo_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,7.94991553,7.94991553,8.94365497,9.93739442,11.9248733,15.8998311,16.8935705,13.9123522
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5631068,14.5631068,12.6213592,16.5048544,14.5631068
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,10.1851852,11.1111111,12.037037,12.037037,14.8148148,13.8888889,16.6666667,17.5925926
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,9.38166311,9.38166311,11.08742,11.9402985,13.6460554,14.4989339,13.6460554,16.2046908
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,10.0775194,10.0775194,10.0775194,12.4031008,11.627907,11.627907,11.627907,17.8294574
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,10.619469,12.3893805,13.2743363,13.2743363,13.2743363,14.159292,15.0442478,17.699115
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,10.5769231,10.5769231,13.4615385,16.3461539,17.3076923,16.3461539,17.3076923,19.2307692
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,9.4017094,9.4017094,11.965812,11.965812,12.8205128,16.2393162,17.0940171,17.0940171
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,9.56521739,11.3043478,13.0434783,14.7826087,16.5217391,14.7826087,15.6521739,17.3913044
Neanderthal,NA,NA,NA,NA,NA,NA,NA,NA,8.73015873,11.1111111,11.9047619,13.4920635,16.6666667,11.9047619,15.8730159,16.6666667
